,130A,8A,92A,11A,38A,37A,48A,100A,77A,4A,143F,143E,120A,107A,44A,33A,7A,6A,69A,73A,26A,70A,119A,57A,129A,13A,91A,87A,27A,82A,9A,89A,83A,86A,53A
acu,-1,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,1,1,0,1,-1,0,0,0,0,0,0,0,1,1,0
bkd,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
bnw,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
dda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
ctc,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
kth,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
alg,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
sri,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
wnb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0
wem,-1,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,1,-1,0,1,1,0,-1,0,0,-1,1,0
cma,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
crg,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,1
tpt,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,-1,0,0,0,0,1,0,1,1,1,0
cai,-1,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,-1,0,1,0,-1,0,-1,0
tsw,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0
ppi,0,0,-1,0,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,1,-1,1,1,0,0,-1,0,0,-1,1,0,0,0,0,1,0
owc,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
pia,-1,0,0,0,-1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,-1,0,0,-1,0,1,0,-1,1,1,1
ese,-1,0,1,0,0,0,0,0,1,0,1,-1,0,0,0,1,0,0,1,0,-1,0,0,-1,-1,0,-1,-1,0,1,1,0,1,1,0
qan,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
dak,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mwn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
bnb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,0,0,0,1,0
chi,-1,0,-1,0,-1,1,0,0,0,0,1,1,0,0,0,-1,0,0,1,0,1,0,0,1,-1,0,0,-1,0,1,-1,-1,1,1,0
mtg,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
kyn,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,1,0,0,1,1,0
shw,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0
wwr,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0
amk,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,0,0,0
kgt,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
agr,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
mcv,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,-1,0,0,0,0,-1,0,1,-1,0,0
afr,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
yir,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0
knc,-1,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,1,0,1,0,0,-1,-1,0,0,-1,0,1,0,-1,1,-1,0
cec,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
bor,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0
crt,-1,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
crj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0
pkn,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,1,0,1,0,0,1,-1,0,-1,1,1,1,0,1,-1,0,0
hil,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,-1,0,1,-1,-1,0
mco,-1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,1,-1,0,1,1,0,0,0,1,0,1,0
nhx,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
pno,-1,0,1,0,-1,-1,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,1,-1,0,-1,-1,0,0,1,0,1,1,1,1,1,0
tar,-1,0,-1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,-1,0,-1,0,0,1,0,1,1,1,0
oma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
nsn,-1,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,1,0,1,0,0,1,-1,0,0,1,-1,1,0,0,1,1,0
bwa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
gna,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
cat,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mcn,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
myr,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,1,1,0
aly,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,1,0,1,0,0,1,-1,0,0,-1,1,1,0,-1,1,-1,0
pin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
akr,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
ute,-1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,-1,0,0,-1,0,0,1,1,1,1,1
tty,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
iql,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
crq,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
cui,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,1,-1,0,1,0,0
fox,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0
chy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
ktu,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,0,-1,0
nlu,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
krc,-1,0,-1,0,1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,1,-1,0,0,1,0,1,1,1,1,1,0
wat,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,-1,0,1,-1,1,0,0,0,0,1,0
klz,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
tut,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
gyb,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
cqt,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,-1,0
acg,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,-1,0,0,-1,0,1,0,0,-1,1,0
ngj,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,-1,0,0,-1,0,1,0,0,1,0,0
cpa,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
nju,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
atq,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
wrl,1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,1,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0
nsk,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
hpd,-1,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,-1,-1,0,0,-1,0,1,-1,1,1,1,0
hmi,-1,0,-1,0,-1,-1,1,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,0,-1,0,1,1,0,1,0,1,1,0,0
bca,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
wth,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,-1,0,-1,0,0,-1,0,0
nnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
abw,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
xar,-1,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,1,-1,0,0,1,0,1,0,1,-1,0,0
nat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,1,0,0
apc,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
hmb,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
crn,-1,0,1,0,-1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,-1,0,0,-1,0,1,0,1,-1,-1,0
ksa,1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,-1,0,0,0,0,1,0,0,1,1,0
pla,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
bok,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,-1,1,1,0
sss,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
bae,-1,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,1,-1,0,0,-1,0,0,0,1,-1,1,0
zap,-1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,-1,0,0,-1,0,-1,0,1,-1,-1,0
sea,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,-1,0,0
dsh,-1,0,-1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,-1,1,1,0,-1,-1,0,1,1,0,1,0,1,-1,1,1
mcs,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0
mic,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
osa,-1,0,-1,0,1,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,-1,0,0,-1,-1,0,1,-1,0,1,-1,0,1,1,0
hid,-1,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,1,-1,0,1,1,0
gny,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mwp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
yyg,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
toy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
pow,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
dja,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,1,0,0,-1,0,0,0,0,1,0,0,1,0,0
ppc,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0
por,-1,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,0,-1,0,1,-1,-1,1,0,0,-1,-1,1
nuk,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
tub,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mkb,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
pui,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
crk,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
ats,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
kkw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
myo,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
nne,-1,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,-1,0
wrg,0,0,-1,0,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,1,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0
nya,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,0,0,1,0,0
kdg,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
jva,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,-1,0,1,-1,0,1,-1,0,1,1,0
yyo,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
emb,-1,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,0,-1,0,0,-1,0,1,-1,-1,1,1,0
txj,-1,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,1,-1,1,-1,0,1,-1,0,1,1,0,1,0,0,-1,-1,1
mtt,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0
yrt,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
tsj,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mny,0,0,1,0,0,0,0,0,-1,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,-1,0,0,0,1,1,0,0,1,1,0
kaq,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
beo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
kxo,1,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,1,0,1,0,1,1,1,0
xer,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,1,0,0,1,1,0
ngw,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,0,0,1,1,0,1,-1,0,0
sec,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,0,1,0
gre,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
qca,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
tpa,-1,1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,-1,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0
muu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,-1,0,0,0,0,1,0,0,1,0,0
gno,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
dig,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,1,1,0,0,-1,0,0,-1,0,1,0,-1,1,1,0
mch,-1,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,0
wir,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
nhu,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mpy,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
pem,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
cnl,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
spo,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0
dgx,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
tos,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mjc,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
cur,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
ayo,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,1,0,1,-1,1,0
des,-1,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,-1,-1,0,0,1,0,1,0,0,1,1,0
cut,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
gid,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
pnn,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,1,-1,0,1,-1,-1,0
gto,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,-1,-1,0,-1,-1,0
mhc,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mcg,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
psv,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mwl,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
mbm,0,1,1,0,-1,-1,0,0,0,1,1,-1,0,0,0,1,1,-1,0,0,-1,0,0,0,0,1,0,-1,0,1,0,-1,-1,-1,0
kgi,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
zqr,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wlm,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bwc,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,0,-1,0,0,0,1,-1,-1,0
sap,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,1,0,0,-1,0,1
ams,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1,-1,0,-1,0,1,-1,-1,0
hlp,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,1,1,1,0,1,0,0
asy,0,0,1,0,-1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,1,0,0,0,-1,-1,0
bao,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
ktc,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
cya,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,1,0,0,0,0,-1,0,0,0,-1,0,-1,0,1,-1,-1,0
mru,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,-1,0,1,0,-1,1,1,0
nsg,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,1,0,0,1,1,0,-1,0,1,-1,-1,0
bob,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0
bho,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,1,0,1,0,1,1,1,0
oro,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,1,1,1,-1,1,1,0
wya,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0
mga,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
